rank,mark,athlete,country,date_of_birth,race_position,venue,result_date
1050,4:00.94,Carla Sacramento,POR,10.12.71,3,Zürich,17.08.2001
1050,4:00.94,Brenda Martinez,USA,08.09.87,3,Monaco,19.07.2013
1050,4:00.94,Abeba Aregawi,SWE,05.07.90,2,Glasgow,11.07.2014
1050,4:00.94,Faith Kipyegon,KEN,10.01.94,2,Oslo,11.06.2015
1054,4:00.95,Mariem Alaoui Selsouli,MAR,08.04.84,3,Monaco,28.07.2009
1054,4:00.95+,Axumawit Embaye,ETH,18.10.94,4,Monaco,12.07.2019
1054,4:00.95,Ciara Mageean,IRL,12.03.92,4,Firenze,02.06.2023
1057,4:00.96,Irina Lebedinskaya,RUS,16.06.61,7r1,Kyiv,27.07.1982
1057,4:00.96,Andrea Hahmann,GER,03.06.66,6,Seoul,01.10.1988
1057,4:00.96,Zhang Lirong,CHN,03.03.73,2h,Jinan,02.06.1993
1057,4:00.96,Kutre Dulecha,ETH,22.08.78,3,Sevilla,29.08.1999
1057,4:00.96,Dawit Seyaum,ETH,27.07.96,1,Ad-Dawhah,15.05.2015
1057,4:00.96,Gudaf Tsegay,ETH,23.06.97,1rA,Ostrava,28.06.2017
1057,4:00.96,Georgia Griffith,AUS,05.12.96,7,Monaco,10.08.2022
1064,4:00.97,Kalkidan Gezahegne,ETH,08.05.91,2,Hengelo,29.05.2011
1064,4:00.97,Eilish McColgan,GBR,25.11.90,9,Rabat,16.06.2019
1064,4:00.97,Katie Snowden,GBR,09.03.94,2,Los Angeles,14.06.2026
1067,4:00.98,Violeta Szekely,ROU,26.03.65,4,Sevilla,29.08.1999
1067,4:00.98,Tatyana Tomashova,RUS,01.07.75,4,Saint-Denis,08.07.2006
1067,4:00.98,Jennifer Simpson,USA,23.08.86,1,Eugene,30.05.2015
1067,4:00.98,Besu Sado,ETH,12.01.96,2,Hengelo,11.06.2017
1067,4:00.98,Axumawit Embaye,ETH,18.10.94,5,Firenze,02.06.2023
1072,4:00.99,Natalya Boborova,RUS,12.02.59,4,Leningrad,26.07.1981
1072,4:00.99,Violeta Szekely,ROU,26.03.65,2,Bruxelles,25.08.2000
1072,4:00.99,Nelly Jepkosgei,BRN,14.07.91,2,Ad-Dawhah,04.05.2018
1072,4:00.99,Jennifer Simpson,USA,23.08.86,1s2,Ad-Dawhah,03.10.2019
1076,4:01.0,Lyubov Smolka,UKR,29.11.52,4,Moskva,12.06.1980
1076,4:01.00,Kutre Dulecha,ETH,22.08.78,4,Zürich,12.08.1998
1076,4:01.00,Olga Yegorova,RUS,28.03.72,1,Roma,11.07.2003
1076,4:01.00,Genzebe Dibaba,ETH,08.02.91,2rA,Stockholm,21.08.2014
1076,4:01.00,Sofia Ennaoui,POL,30.08.95,8,Saint-Denis,27.08.2016
1076,4:01.00,Elinor St. Pierre,USA,20.02.95,6s1,Tokyo,04.08.2021
1082,4:01.01,Natalya Artyomova,RUS,05.01.63,2,Frankfurt,30.06.1991
1082,4:01.01,Regina Jacobs,USA,28.08.63,1,Sacramento,16.07.2000
1082,4:01.01,Alesya Turova,BLR,06.12.79,1,Monaco,19.07.2002
1082,4:01.01,Christin Wurth-Thomas,USA,11.07.80,5,Zürich,28.08.2009
1082,4:01.01,Nancy Jebet Langat,KEN,22.08.81,1,Zürich,19.08.2010
1082,4:01.01,Laura Muir,GBR,09.05.93,7,Stockholm,02.06.2024
1088,4:01.02,Svetlana Kitova,TJK,25.06.60,2,Kyiv,02.08.1988
1088,4:01.02,Regina Jacobs,USA,28.08.63,2,Monaco,19.07.2002
1090,4:01.03,Paula Ivan,ROU,20.07.63,1,Bucuresti,23.05.1987
1090,4:01.03,Abeba Aregawi,ETH,05.07.90,1s2,London,08.08.2012
1090,4:01.03,Gudaf Tsegay,ETH,23.06.97,2,Birmingham,18.08.2018
1090,4:01.03,Freweyni Hailu,ETH,12.02.01,3s1,Tokyo,14.09.2025
1094,4:01.04,Mariem Alaoui Selsouli,MAR,08.04.84,1r1,Rieti,10.09.2011
1094,4:01.04,Gabriela DeBues-Stafford,CAN,13.09.95,2s2,Ad-Dawhah,03.10.2019
1096,4:01.05,Lyubov Kremlyova,RUS,21.12.61,2,Monaco,02.08.1994
1096,4:01.05,Hassiba Boulmerka,ALG,10.07.68,1,London,09.09.1994
1096,4:01.05,Sonia O'Sullivan,IRL,28.11.69,2,Bratislava,09.06.1998
1096,4:01.05,Laura Muir,GBR,09.05.93,3s2,Ad-Dawhah,03.10.2019
1100,4:01.06,Regina Jacobs,USA,28.08.63,3,Bruxelles,30.08.2002
1100,4:01.06+,Gabriela DeBues-Stafford,CAN,13.09.95,5,Monaco,12.07.2019
1102,4:01.07,Hind Dehiba,FRA,17.03.79,3,Rieti,29.08.2010
1103,4:01.08,Sonia O'Sullivan,IRL,28.11.69,4,Bruxelles,28.08.1998
1103,4:01.08,Suzy Favor Hamilton,USA,08.08.68,2,Paris,14.09.2002
1103,4:01.08,Faith Kipyegon,KEN,10.01.94,2,Eugene,01.06.2013
1103,4:01.08,Laura Muir,GBR,09.05.93,1,München,19.08.2022
1103,4:01.08,Sinclaire Johnson,USA,13.04.98,4s1,Tokyo,14.09.2025
1108,4:01.09,Susan Krumins,NED,08.07.86,9,Lausanne,08.07.2010
1108,4:01.09,Ibtissam Lakhouad,MAR,07.12.80,2,Monaco,22.07.2011
1108,4:01.09,Helen Schlachtenhaufen,USA,14.03.95,3,Stockholm,04.07.2021
1108,4:01.09,Sinclaire Johnson,USA,13.04.98,2h3,Budapest,19.08.2023
1108,4:01.09,Susan Ejore-Sanders,KEN,09.11.95,11,Eugene,25.05.2024
1113,4:01.1,Valentina Ilyinykh,RUS,12.12.56,3,Moskva,29.07.1979
1113,4:01.10,Doina Melinte,ROU,27.12.56,1,Köln,17.08.1986
1113,4:01.10,Sandra Gasser,SUI,27.07.62,1,Oslo,04.07.1987
1113,4:01.10,Helen Clitheroe,GBR,02.01.74,3,Monaco,19.07.2002
1113,4:01.10,Claudia Mihaela Bobocea,ROU,11.06.92,4rA,Ostrava,31.05.2022
1113,4:01.10,Georgia Griffith,AUS,05.12.96,1,Tokyo,18.05.2025
1113,4:01.10,Erin Wallace,GBR,18.05.00,10,Budapest,12.08.2025
1120,4:01.12,Gudaf Tsegay,ETH,23.06.97,4s2,Ad-Dawhah,03.10.2019
1120,4:01.12,Birke Haylom,ETH,06.01.06,3h3,Budapest,19.08.2023
1122,4:01.13,Kelly Holmes,GBR,19.04.70,2,Oslo,05.07.1996
1123,4:01.14,Yelena Soboleva,RUS,03.10.82,3r3,Tula,13.07.2005
1123,4:01.14,Winny Chebet,KEN,20.12.90,5s2,Ad-Dawhah,03.10.2019
1125,4:01.15+,Maricica Puica,ROU,29.07.50,1,Nice,15.07.1986
1125,4:01.15,Svetlana Masterkova,RUS,17.01.68,5,Oslo,28.07.2000
1125,4:01.15,Olga Yegorova,RUS,28.03.72,1,Roma,02.07.2004
1125,4:01.15,Rababe Arafi,MAR,12.01.91,1,Shanghai,18.05.2019
1125,4:01.15+,Winnie Nanyondo,UGA,23.08.93,6,Monaco,12.07.2019
1125,4:01.15,Abbey Caldwell,AUS,03.07.01,5,Ad-Dawhah,05.05.2023
1125,4:01.15,Katie Snowden,GBR,09.03.94,4h3,Budapest,19.08.2023
1132,4:01.16,Shannon Osika,USA,15.06.93,5,Eugene,21.08.2021
1133,4:01.17,Mary Slaney,USA,04.08.58,1,Stuttgart,12.07.1980
1133,4:01.17,Tatyana Pozdnyakova,UKR,04.03.56,4,Kyiv,24.06.1984
1133,4:01.17,Tatyana Dorovskikh,UKR,12.08.61,2,Monaco,11.08.1992
1133,4:01.17,Fanjanteino Félix,FRA,26.01.80,4,Saint-Denis,16.07.2010
1133,4:01.17,Hind Dehiba,FRA,17.03.79,2,Barcelona,01.08.2010
1138,4:01.18,Anna Bukis,POL,08.09.53,1,Pescara,02.08.1981
1138,4:01.18,Carla Sacramento,POR,10.12.71,6,Oslo,28.07.2000
1138,4:01.18,Violeta Szekely,ROU,26.03.65,3,Zürich,11.08.2000
1138,4:01.18,Hayley Tullett,GBR,17.02.73,4,Zürich,15.08.2003
1138,4:01.18,Jennifer Simpson,USA,23.08.86,4,Roma,06.06.2019
1138,4:01.18,Winnie Nanyondo,UGA,23.08.93,4,Monaco,09.07.2021
1138,4:01.18,Cory Ann McGee,USA,29.05.92,13,Paris,07.07.2024
1145,4:01.19,Zamira Zaytseva,UZB,16.02.53,2,Helsinki,14.08.1983
1145,4:01.19,Ravilya Agletdinova,BLR,10.02.60,1,Stuttgart,31.08.1986
1145,4:01.19,Tatyana Tomashova,RUS,01.07.75,1rA,Tula,10.08.2003
1145,4:01.19,Maryam Yusuf Jamal,BRN,16.09.84,1rA,Stockholm,17.08.2012
1145,4:01.19,Sifan Hassan,NED,01.01.93,3,Shanghai,18.05.2014
1145,4:01.19,Nelly Chepchirchir,KEN,04.06.03,3,Ad-Dawhah,10.05.2024
1145,4:01.19,Gabriela DeBues-Stafford,CAN,13.09.95,2,Cork,11.07.2025
1145,4:01.19,Marta Pérez,ESP,19.04.93,5s1,Tokyo,14.09.2025
1153,4:01.2,Yekaterina Podkopayeva,RUS,11.06.52,1r2,Sochi,23.05.1980
1153,4:01.2,Ulrike Bruns,GDR,17.11.53,2,Potsdam,05.07.1980
1153,4:01.2,Lyudmila Shesterova,UKR,12.10.56,2,Moskva,12.07.1980
1153,4:01.20,Maricica Puica,ROU,29.07.50,1,Oslo,05.07.1986
1153,4:01.20,Yvonne Murray,GBR,04.10.64,2,Oslo,04.07.1987
1158,4:01.21,Tatyana Tomashova,RUS,01.07.75,2,Monaco,20.08.2006
1158,4:01.21+,Ciara Mageean,IRL,12.03.92,7,Monaco,12.07.2019
1158,4:01.21,Gabija Galvydyte,LTU,17.01.00,3,Los Angeles,14.06.2026
1161,4:01.22,Galina Kireyeva,RUS,01.03.56,8r1,Kyiv,27.07.1982
1161,4:01.22,Tamara Sorokina,RUS,15.08.50,6,Athínai,11.09.1982
1161,4:01.22,Lyudmila Rogachova,RUS,30.10.66,1,Noisy-le-Grand,04.07.1992
1161,4:01.22,Jackline Maranga,KEN,16.12.77,4,Bruxelles,05.09.2003
1165,4:01.23,Tatyana Kazankina,RUS,17.12.51,2,Leningrad,26.07.1983
1165,4:01.23,Sonia O'Sullivan,IRL,28.11.69,2,Zürich,19.08.1992
1165,4:01.23,Hayley Tullett,GBR,17.02.73,7,Oslo,28.07.2000
1165,4:01.23,Nouria Mérah-Benida,ALG,19.10.70,3,Bruxelles,25.08.2000
1165,4:01.23,Maryam Yusuf Jamal,BRN,16.09.84,1,Stuttgart,22.09.2007
1165,4:01.23,Lisa Dobriskey,GBR,23.12.83,1,Rieti,06.09.2009
1165,4:01.23,Kristiina Sasinek Mäki,CZE,22.09.91,7s1,Tokyo,04.08.2021
1165,4:01.23,Freweyni Hailu,ETH,12.02.01,1h3,Tokyo,13.09.2025
1173,4:01.24,Doina Melinte,ROU,27.12.56,2,Zürich,17.08.1988
1173,4:01.24,Gaia Sabbatini,ITA,10.06.99,8,Chorzów,16.07.2023
1175,4:01.25,Gabriella Dorio,ITA,27.06.57,6,Praha,03.09.1978
1175,4:01.25,Lyubov Smolka,UKR,29.11.52,6,Moskva,01.08.1980
1175,4:01.25,Gudaf Tsegay,ETH,23.06.97,2,Shanghai,18.05.2019
1175,4:01.25,Brenda Chebet,KEN,06.03.04,2,Székesfehérvár,18.07.2023
1175,4:01.25,Worknesh Mesele,ETH,10.06.01,4,Ad-Dawhah,10.05.2024
1180,4:01.26,Maricica Puica,ROU,29.07.50,7,Moskva,01.08.1980
1180,4:01.26,Carla Sacramento,POR,10.12.71,4,Monaco,20.07.2001
1180,4:01.26,Judit Varga,HUN,16.04.76,6,Zürich,16.08.2002
1180,4:01.26,Mercy Cherono,KEN,07.05.91,2,Eugene,30.05.2015
1180,4:01.26,Elise Vanderelst,BEL,27.01.98,11,Bruxelles,14.09.2024
1185,4:01.27,Gudaf Tsegay,ETH,23.06.97,12,Saint-Denis,10.08.2024
1186,4:01.28,Lyubov Kremlyova,RUS,21.12.61,3,Monaco,11.08.1992
1186,4:01.28,Tatyana Tomashova,RUS,01.07.75,3,München,11.08.2002
1186,4:01.28,Bouchra Ghézielle,FRA,19.05.79,4,Monaco,09.09.2005
1186,4:01.28,Shannon Rowbury,USA,19.09.84,4,Monaco,19.07.2013
1186,4:01.28,Gabriela DeBues-Stafford,CAN,13.09.95,5,Roma,06.06.2019
1186,4:01.28,Gudaf Tsegay,ETH,23.06.97,1s1,Eugene,16.07.2022
1186,4:01.28,Freweyni Hailu,ETH,12.02.01,4,Eugene,18.07.2022
1186,4:01.28,Cory Ann McGee,USA,29.05.92,10,Eugene,16.09.2023
1194,4:01.29,Christiane Wartenberg,GDR,27.10.56,2,Los Angeles,25.06.1983
1194,4:01.29,Carla Sacramento,POR,10.12.71,5,Sevilla,29.08.1999
1194,4:01.29,Gulnara Galkina,RUS,09.07.78,1,Tula,01.08.2004
1194,4:01.29,Maryam Yusuf Jamal,BRN,16.09.84,2,Rieti,06.09.2009
1198,4:01.30,Natalia Rodríguez,ESP,02.06.79,2,Roma,11.07.2003
1198,4:01.30,Shannon Rowbury,USA,19.09.84,5,Saint-Denis,16.07.2010
1198,4:01.30,Natalia Rodríguez,ESP,02.06.79,3,Barcelona,01.08.2010
1198,4:01.30,Winnie Nanyondo,UGA,23.08.93,6s2,Ad-Dawhah,03.10.2019
1198,4:01.30,Brenda Chebet,KEN,06.03.04,2,Tomblaine,18.06.2023
1198,4:01.30,Sarah Madeleiene,FRA,20.09.98,6s1,Tokyo,14.09.2025
1198,4:01.30,Claudia Hollingsworth,AUS,12.04.05,1,Melbourne,28.03.2026
1205,4:01.31,Andrea Hahmann,GER,03.06.66,1,Potsdam,08.09.1988
1205,4:01.31,Carla Sacramento,POR,10.12.71,2,Berlin,31.08.2001
1205,4:01.31,Olga Yegorova,RUS,28.03.72,3,Tula,15.06.2006
1205,4:01.31,Viola Kibiwott,KEN,22.12.85,4,Shanghai,18.05.2014
1205,4:01.31,Claudia Mihaela Bobocea,ROU,11.06.92,3,Chorzów,06.09.2020
1210,4:01.32,Paula Ivan,ROU,20.07.63,1,Zagreb,16.07.1987
1210,4:01.32,Winny Chebet,KEN,20.12.90,3,Hengelo,11.06.2017
1210,4:01.32,Elisabet Amare,ETH,23.02.09,1,Montreuil,17.06.2026
1213,4:01.33,Siham Hilali,MAR,02.05.86,3,Hengelo,29.05.2011
1213,4:01.33,Kate Grace,USA,24.10.88,1,Berlin,12.09.2021
1215,4:01.34,Margaret Crowley,AUS,25.05.67,3,Oslo,05.07.1996
1215,4:01.34,Meraf Bahta,SWE,24.06.89,5,Zürich,28.08.2014
1215,4:01.34,Abby Caldwell,USA,12.10.95,6,Firenze,02.06.2023
1218,4:01.35,Carla Sacramento,POR,10.12.71,4,Bruxelles,30.08.2002
1219,4:01.36,Lidia Chojecka,POL,25.01.77,3,Zürich,11.08.1999
1219,4:01.36,Brenda Martinez,USA,08.09.87,6,Zürich,28.08.2014
1219,4:01.36,Dawit Seyaum,ETH,27.07.96,1,Birmingham,20.08.2017
1219,4:01.36,Georgia Griffith,AUS,05.12.96,13,Paris,20.06.2025
1223,4:01.37,Tamara Sorokina,RUS,15.08.50,1,Zagreb,16.08.1981
1223,4:01.37,Svetlana Masterkova,RUS,17.01.68,1,Oslo,09.07.1998
1223,4:01.37,Linden Hall,AUS,20.06.91,3s2,Tokyo,04.08.2021
1226,4:01.38,Lyudmila Bragina,RUS,24.07.43,1,München,09.09.1972
1226,4:01.38,Ulrike Bruns,GDR,17.11.53,1,Erfurt,03.06.1984
1226,4:01.38,Elizabeth McColgan,GBR,24.05.64,3,Oslo,04.07.1987
1226,4:01.38,Judit Varga,HUN,16.04.76,4,Monaco,19.07.2002
1226,4:01.38,Yelena Zadorozhnaya,RUS,03.12.77,2,Roma,02.07.2004
1226,4:01.38,Heather MacLean,USA,31.08.95,4,Chorzów,06.08.2022
1232,4:01.39,Winnie Nanyondo,UGA,23.08.93,3,Shanghai,18.05.2019
1232,4:01.39,Sofia Ennaoui,POL,30.08.95,5,Chorzów,06.08.2022
1232,4:01.39,Josette Andrews,USA,15.12.95,7,Firenze,02.06.2023
1232,4:01.39,Jessica Hull,AUS,22.10.96,1,Adelaide,14.04.2024
1236,4:01.4,Gunhild Hoffmeister,GDR,06.07.44,2,Potsdam,14.07.1976
1236,4:01.4,Olga Dvirna,RUS,11.02.53,4,Moskva,29.07.1979
1236,4:01.4,Valentina Ilyinykh,RUS,12.12.56,2,Kaunas,12.08.1979
1236,4:01.4,Irina Lebedinskaya,RUS,16.06.61,3,Krasnodar,30.05.1983
1236,4:01.40,Doina Melinte,ROU,27.12.56,2,Bucuresti,31.07.1982
1236,4:01.40,Doina Melinte,ROU,27.12.56,2,Lausanne,10.07.1991
1236,4:01.40,Maryam Yusuf Jamal,BRN,16.09.84,3,Bruxelles,16.09.2011
1236,4:01.40,Sifan Hassan,NED,01.01.93,2,Ad-Dawhah,15.05.2015
1236,4:01.40,Dawit Seyaum,ETH,27.07.96,4,Shanghai,18.05.2019
1236,4:01.40+,Rababe Arafi,MAR,12.01.91,8,Monaco,12.07.2019
1236,4:01.40,Faith Kipyegon,KEN,10.01.94,1h3,Tokyo,02.08.2021
1236,4:01.40,Jemma Reekie,GBR,06.03.98,3,Tomblaine,18.06.2023
1236,4:01.40,Dominique Hiltz,USA,23.10.94,1s1,Eugene,28.06.2024
1249,4:01.41,Kirsty Wade,GBR,06.08.62,6,Roma,05.09.1987
1249,4:01.41,Kelly Holmes,GBR,19.04.70,1,Sheffield,12.06.1994
1249,4:01.41,Olga Yegorova,RUS,28.03.72,1rA,Lausanne,06.07.2004
1249,4:01.41,Nancy Jebet Langat,KEN,22.08.81,3,Eugene,01.06.2013
1249,4:01.41,Viola Kibiwott,KEN,22.12.85,5,Roma,04.06.2015
1249,4:01.41,Habitam Alemu,ETH,09.07.97,3,Ad-Dawhah,04.05.2018
1249,4:01.41,Marta Pérez,ESP,19.04.93,5h3,Budapest,19.08.2023
1249,4:01.41,Saron Berhe,ETH,22.08.07,14,Paris,20.06.2025
1249,4:01.41,Joceline Wind,SUI,12.09.00,10,Xiamen,23.05.2026
1258,4:01.42,Kristina da Fonseca-Wöllheim,GER,10.02.72,8,Roma,14.07.1998
1258,4:01.42,Olga Nelyubova,RUS,12.06.64,9,Monaco,08.08.1998
1258,4:01.42,Olga Yegorova,RUS,28.03.72,1,Kazan,09.07.2004
1258,4:01.42,Gudaf Tsegay,ETH,23.06.97,5,Roma,08.06.2017
1258,4:01.42+,Dominique Hiltz,USA,23.10.94,4,Oslo,15.06.2023
1263,4:01.43,Fita Lovin,ROU,14.01.51,2,Bucuresti,12.07.1984
1263,4:01.43,Zamira Zaytseva,UZB,16.02.53,4,Moskva,03.08.1984
1263,4:01.43,Anna Jakubczak,POL,02.02.73,4,Zürich,11.08.1999
1263,4:01.43,Lidia Chojecka,POL,25.01.77,5,Göteborg,13.08.2006
1263,4:01.43,Helen Obiri,KEN,13.12.89,4,Saint-Denis,06.07.2012
1263,4:01.43,Sofia Ennaoui,POL,30.08.95,5,Eugene,18.07.2022
1269,4:01.44,Ulrike Bruns,GDR,17.11.53,2,Jena,09.08.1981
1269,4:01.44,Yvonne Murray,GBR,04.10.64,2,Sheffield,12.06.1994
1269,4:01.44,Kristina da Fonseca-Wöllheim,GER,10.02.72,5,Zürich,11.08.1999
1269,4:01.44,Olga Yegorova,RUS,28.03.72,5,Saint-Denis,08.07.2006
1269,4:01.44,Maryam Yusuf Jamal,BRN,16.09.84,1,Oslo,15.06.2007
1269,4:01.44,Anna Willard,USA,31.03.84,3,Eugene,07.06.2009
1269,4:01.44,Nozomi Tanaka,JPN,04.09.99,1,Niigata,28.06.2024
1276,4:01.45,Liu Li,CHN,12.03.71,1h2,Beijing,10.09.1993
1276,4:01.45,Violeta Szekely,ROU,26.03.65,1,Oslo,13.07.2001
1276,4:01.45,Yelena Zadorozhnaya,RUS,03.12.77,2rA,Tula,10.08.2003
1276,4:01.45,Cory Ann McGee,USA,29.05.92,8,Firenze,02.06.2023
1276,4:01.45,Linden Hall,AUS,20.06.91,6h3,Budapest,19.08.2023
1281,4:01.46,Olga Yegorova,RUS,28.03.72,2,Helsinki,14.08.2005
1281,4:01.46+,Maryam Yusuf Jamal,BRN,16.09.84,1,Rieti,07.09.2008
1281,4:01.46,Anna Shchagina,RUS,07.12.91,8,Monaco,17.07.2015
1281,4:01.46,Ciara Mageean,IRL,12.03.92,9,Saint-Denis,27.08.2016
1281,4:01.46,Axumawit Embaye,ETH,18.10.94,5,Rabat,25.05.2025
1281,4:01.46,Sinclaire Johnson,USA,13.04.98,1,Portland,15.06.2025
1287,4:01.47,Getenesh Wami,ETH,11.12.74,2,Stuttgart,19.07.1998
1287,4:01.47+,Gelete Burka,ETH,23.01.86,2,Rieti,07.09.2008
1287,4:01.47,Birke Haylom,ETH,06.01.06,11,Saint-Denis,07.08.2024
1290,4:01.48,Jackline Maranga,KEN,16.12.77,2,Monaco,13.09.2003
1290,4:01.48,Oksana Zbrozhek,RUS,12.01.78,3,Roma,10.07.2009
1290,4:01.48,Gabrielle Anderson,USA,25.06.86,5,Monaco,19.07.2013
1290,4:01.48,Sarah Healy,IRL,13.02.01,7,Xiamen,02.09.2023
1290,4:01.48,Marta Pérez,ESP,19.04.93,11,Chorzów,25.08.2024
1295,4:01.49,Ulrike Bruns,GDR,17.11.53,3,Cottbus,26.06.1982
1295,4:01.49,Doina Melinte,ROU,27.12.56,1,Udine,12.06.1983
1295,4:01.49,Svetlana Kitova,TJK,25.06.60,1,Moskva,06.08.1988
1295,4:01.49,Wang Qingfen,CHN,27.03.73,3h1,Beijing,10.09.1993
1295,4:01.49,Violeta Szekely,ROU,26.03.65,1,Monaco,04.08.1999
1295,4:01.49,Winnie Nanyondo,UGA,23.08.93,4,Nanjing,21.05.2019
1295,4:01.49,Agathe Guillemot,FRA,11.07.99,7,Roma,06.06.2025
1302,4:01.50,Yekaterina Podkopayeva,RUS,11.06.52,2,Stockholm,12.07.1994
1302,4:01.50,Natalya Gorelova,RUS,18.04.73,8,Oslo,28.07.2000
1302,4:01.50,Maria Mutola,MOZ,27.10.72,1,Roma,12.07.2002
1302,4:01.50,Natalia Rodríguez,ESP,02.06.79,1,Barcelona,22.07.2011
1302,4:01.50,Sarah McDonald,GBR,02.08.93,10,Rabat,16.06.2019
1302,4:01.50A,Diribe Welteji,ETH,13.05.02,1,Nairobi,07.05.2022
1302,4:01.50,Sarah Healy,IRL,13.02.01,11,Paris,28.06.2026
1309,4:01.51,Morgan Uceny,USA,10.03.85,3,Monaco,22.07.2011
1309,4:01.51,Birke Haylom,ETH,06.01.06,9,Budapest,22.08.2023
1311,4:01.52,Ulrike Bruns,GDR,17.11.53,4h1,Moskva,30.07.1980
1311,4:01.52,Mariem Alaoui Selsouli,MAR,08.04.84,4,Osaka,02.09.2007
1311,4:01.52,Dominique Hiltz,USA,23.10.94,7s2,Ad-Dawhah,03.10.2019
1311,4:01.52,Marta Zenoni,ITA,09.03.99,8,Roma,06.06.2025
1311,4:01.52,Georgia Hunter Bell,GBR,17.10.93,2,Melbourne,28.03.2026
1316,4:01.53,Christine Benning,GBR,30.03.55,3,Zürich,15.08.1979
1317,4:01.54,Brigitte Kraus,FRG,12.08.56,1,Dortmund,01.07.1978
1317,4:01.54,Gabriela Szabo,ROU,14.11.75,2,Atlanta,03.08.1996
1317,4:01.54,Lisa Dobriskey,GBR,23.12.83,4,Barcelona,01.08.2010
1317,4:01.54,Eunice Sum,KEN,10.04.88,6,Eugene,31.05.2014
1317,4:01.54,Laura Muir,GBR,09.05.93,1,Eugene,24.04.2021
1317,4:01.54,Weronika Lizakowska,POL,02.11.98,5h2,Saint-Denis,06.08.2024
1317,4:01.54,Abbey Caldwell,AUS,03.07.01,4,Philadelphia,31.05.2025
1324,4:01.55,Wang Junxia,CHN,09.01.73,2h2,Beijing,10.09.1993
1324,4:01.55,Violeta Szekely,ROU,26.03.65,1,Saint-Denis,06.07.2001
1324,4:01.55,Natalya Gorelova,RUS,18.04.73,3,Berlin,31.08.2001
1327,4:01.56,Axumawit Embaye,ETH,18.10.94,6,Chorzów,06.08.2022
1327,4:01.56,Likina Amebaw,ETH,30.11.97,7,Rabat,31.05.2026
1329,4:01.57,Natalya Artyomova,RUS,05.01.63,5,Kyiv,24.06.1984
1329,4:01.57,Lyubov Kremlyova,RUS,21.12.61,3,Kyiv,17.07.1986
1329,4:01.57,Natalya Yevdokimova,RUS,17.03.78,2,Tula,01.08.2004
1329,4:01.57,Jennifer Simpson,USA,23.08.86,4,Eugene,28.05.2016
1333,4:01.58,Natalia Marasescu,ROU,03.10.52,1,Bucuresti,11.08.1978
1333,4:01.58,Yekaterina Podkopayeva,RUS,11.06.52,1,Köln,21.08.1994
1333,4:01.58,Maryam Yusuf Jamal,BRN,16.09.84,1,Stuttgart,09.09.2006
1336,4:01.59,Mimi Belete,BRN,09.06.88,6,Saint-Denis,16.07.2010
1336,4:01.59,Morgan Uceny,USA,10.03.85,4,Roma,31.05.2012
1336,4:01.59,Joceline Wind,SUI,12.09.00,1rA,Tomblaine,04.07.2025
1339,4:01.6,Maricica Puica,ROU,29.07.50,5,Moskva,29.07.1979
1339,4:01.6,Lyubov Smolka,UKR,29.11.52,1h1,Moskva,04.07.1980
1339,4:01.6,Ulrike Bruns,GDR,17.11.53,1,Potsdam,31.05.1984
1339,4:01.60,Ulrike Bruns,GDR,17.11.53,1,Potsdam,18.08.1982
1339,4:01.60,Hayley Tullett,GBR,17.02.73,3,Monaco,13.09.2003
1339,4:01.60,Tatyana Tomashova,RUS,01.07.75,3,Tula,01.08.2004
1339,4:01.60,Nancy Jebet Langat,KEN,22.08.81,1,New York City,12.06.2010
1339,4:01.60,Maryam Yusuf Jamal,BRN,16.09.84,1,Roma,26.05.2011
1339,4:01.60,Eilish McColgan,GBR,25.11.90,2,Berlin,27.08.2017
1339,4:01.60,Cory Ann McGee,USA,29.05.92,10,Budapest,22.08.2023
1339,4:01.60,Águeda Marqués,ESP,19.03.99,9h1,Saint-Denis,06.08.2024
1350,4:01.61,Yekaterina Podkopayeva,RUS,11.06.52,3,Praha,18.08.1984
1350,4:01.61,Angela Chalmers,CAN,06.09.63,1,Paris,03.09.1994
1350,4:01.61,Shannon Rowbury,USA,19.09.84,1,Carson,18.05.2008
1350,4:01.61,Iryna Lishchynska,UKR,15.01.76,2,Athínai,13.07.2008
1350,4:01.61,Angelika Cichocka,POL,15.03.88,4,Paris,01.07.2017
1355,4:01.62,Lyudmila Rogachova,RUS,30.10.66,4,Monaco,11.08.1992
1355,4:01.62,Genzebe Dibaba,ETH,08.02.91,2,Roma,06.06.2013
1355,4:01.62,Sifan Hassan,NED,01.01.93,3rA,Stockholm,21.08.2014
1355,4:01.62,Laura Weightman,GBR,07.01.91,2,Stockholm,23.08.2020
1359,4:01.63,Maria Mutola,MOZ,27.10.72,4,Oslo,05.07.1996
1359,4:01.63,Sarah Jamieson,AUS,24.03.75,3,Monaco,20.08.2006
1359,4:01.63,Iryna Lishchynska,UKR,15.01.76,2,Beijing,23.08.2008
1359,4:01.63,Nancy Jebet Langat,KEN,22.08.81,1,Ad-Dawhah,14.05.2010
1359,4:01.63,Shannon Rowbury,USA,19.09.84,4,Rieti,29.08.2010
1359,4:01.63,Mimi Belete,BRN,09.06.88,7,Zürich,28.08.2014
1359,4:01.63,Sinclaire Johnson,USA,13.04.98,6,Eugene,18.07.2022
1366,4:01.64,Naomi Mugo,KEN,02.01.77,4,Zürich,11.08.2000
1366,4:01.64,Jackline Maranga,KEN,16.12.77,5,Saint-Denis,31.08.2003
